importer,year,value_usd,mfn_avg_duty,best_avg_duty,mfn_line_count,mfn_nonadval_line,pref_line_count,exporter
ALL Available Markets,,"1,666,473,288",,,,,,Malaysia
Albania,2025,,2.46,2.46,490,,,Malaysia
Angola,2023,,5.84,5.84,271,,,Malaysia
Antigua and Barbuda,2022,,11.39,11.39,310,1,,Malaysia
Argentina,2024,,10.6,10.6,640,,,Malaysia
Armenia,2023,,4.33,4.33,"1,139",9,,Malaysia
Australia,2024,,2.06,0,371,,153,Malaysia
"Bahrain, Kingdom of",2024,,3.16,3.16,397,,,Malaysia
Bangladesh,2024,,14.84,14.84,419,,,Malaysia
Barbados,2022,"5,032",11.47,11.47,306,,,Malaysia
Belize,2025,,9.91,9.91,339,,,Malaysia
Benin,2024,,11.73,11.73,323,,,Malaysia
"Bolivia, Plurinational State of",2023,,7.92,7.92,483,,,Malaysia
Botswana,2023,,5.38,5.38,474,,,Malaysia
Brazil,2024,,10.92,10.92,643,,,Malaysia
Brunei Darussalam,2024,,0.05,0.05,896,,,Malaysia
Burkina Faso,2024,,11.73,11.73,323,,,Malaysia
Burundi,2024,,11.8,11.8,305,,,Malaysia
Cabo Verde,2023,,9.45,9.45,377,3,,Malaysia
Cambodia,2024,,12.91,12.91,896,,,Malaysia
Cameroon,2023,,17.48,17.48,298,,,Malaysia
Canada,2024,,1.15,0,420,,80,Malaysia
Central African Republic,2023,,17.48,17.48,298,,,Malaysia
Chad,2023,,17.48,17.48,298,,,Malaysia
Chile,2024,,5.99,5.99,441,,,Malaysia
China,2024,,4.62,4.62,591,,,Malaysia
Colombia,2025,,2.48,2.48,501,,,Malaysia
Congo,2023,,17.48,17.48,298,,,Malaysia
Costa Rica,2024,,3.38,3.38,631,,,Malaysia
Cote d'Ivoire,2023,,11.78,11.78,292,,,Malaysia
Cuba,2022,"847,358",4.98,4.98,283,,,Malaysia
Dominican Republic,2024,,7.34,7.34,487,,,Malaysia
Ecuador,2024,,9.65,9.65,581,18,,Malaysia
El Salvador,2024,,3.33,3.33,447,,,Malaysia
Eswatini,2022,,5.38,5.38,474,,,Malaysia
European Union,2024,,1.95,1.95,500,,,Malaysia
Fiji,2023,,4.49,4.49,332,1,,Malaysia
Gabon,2023,,17.48,17.48,298,,,Malaysia
The Gambia,2024,,11.73,11.73,323,,,Malaysia
Georgia,2024,,0.04,0.04,566,,,Malaysia
Ghana,2024,,11.73,11.73,323,,,Malaysia
Guatemala,2024,,3.33,3.33,447,,,Malaysia
Guinea,2024,,11.73,11.73,323,,,Malaysia
Guinea-Bissau,2024,,11.73,11.73,323,,,Malaysia
Guyana,2022,"475,128",10.92,10.92,307,1,,Malaysia
Haiti,2020,,2.67,2.67,275,,,Malaysia
Honduras,2024,,3.33,3.33,447,,,Malaysia
"Hong Kong, China",2025,,0,0,452,,,Malaysia
Iceland,2024,,0,0,502,,,Malaysia
India,2024,,10.39,10.39,634,,,Malaysia
Indonesia,2023,"655,213,072",6.02,6.02,896,4,,Malaysia
Israel,2022,"307,932,000",3.13,3.13,630,10,,Malaysia
Japan,2024,,0.07,0,355,,7,Malaysia
Jordan,2025,,3.87,3.87,463,,,Malaysia
Kazakhstan,2023,,3.27,3.27,"1,139",1,,Malaysia
Kenya,2024,,12.38,12.38,305,,,Malaysia
"Korea, Republic of",2024,,4.08,4.08,743,,,Malaysia
"Kuwait, the State of",2023,,3.22,3.22,384,8,,Malaysia
Kyrgyz Republic,2020,"749,705",4.28,4.28,712,9,,Malaysia
Lao People's Democratic Republic,2024,,7.42,0,896,,896,Malaysia
Lesotho,2023,,5.73,5.73,492,,,Malaysia
Liberia,2024,,11.73,11.73,323,,,Malaysia
"Macao, China",2024,,0,0,431,,,Malaysia
Madagascar,2024,,11.48,11.48,316,5,,Malaysia
Malawi,2022,,10.2,10.2,461,,,Malaysia
Maldives,2023,,18,18,484,,,Malaysia
Mali,2024,,11.73,11.73,323,,,Malaysia
Mauritania,2023,,12,12,292,,,Malaysia
Mauritius,2024,,1.15,1.15,339,,,Malaysia
Mexico,2025,,4.32,4.32,557,2,,Malaysia
"Moldova, Republic of",2024,,5.62,5.62,500,,,Malaysia
Mongolia,2024,,4.72,4.72,305,,,Malaysia
Montenegro,2024,,0.95,0.95,503,,,Malaysia
Morocco,2024,,9.73,9.73,533,,,Malaysia
Myanmar,2024,,7.43,7.43,897,,,Malaysia
Namibia,2022,,5.38,5.38,474,,,Malaysia
Nepal,2023,,9.46,9.46,330,,,Malaysia
New Zealand,2024,,1.69,0,527,5,178,Malaysia
Nicaragua,2024,,3.33,3.33,483,,,Malaysia
Niger,2024,,11.73,11.73,323,,,Malaysia
Nigeria,2024,,11.73,11.73,323,,,Malaysia
North Macedonia,2025,,6.12,6.12,561,,,Malaysia
Norway,2024,,0,0,356,,,Malaysia
Oman,2024,,3.19,3.19,410,6,,Malaysia
Pakistan,2022,"10,169,258",13.15,13.15,498,4,,Malaysia
Panama,2024,,3.72,3.72,523,,,Malaysia
Paraguay,2024,,5.63,5.63,640,,,Malaysia
Peru,2022,,1.24,1.24,485,,,Malaysia
Philippines,2024,,3.12,0,896,,457,Malaysia
Qatar,2024,,3.12,3.12,397,8,,Malaysia
Russian Federation,2021,,4.45,4.45,716,10,,Malaysia
Rwanda,2024,,11.31,11.31,305,,,Malaysia
Saint Lucia,2021,,8.32,8.32,303,,,Malaysia
Saint Vincent and the Grenadines,2020,,11.61,11.61,336,,,Malaysia
Samoa,2021,,13.51,13.51,270,,,Malaysia
"Saudi Arabia, Kingdom of",2024,,4.31,4.31,598,3,,Malaysia
Senegal,2023,,11.76,11.76,323,,,Malaysia
Seychelles,2024,,0.25,0.25,302,,,Malaysia
Sierra Leone,2024,,11.73,11.73,323,,,Malaysia
Singapore,2024,,0,0,896,,,Malaysia
South Africa,2024,,5.73,5.73,492,,,Malaysia
Sri Lanka,2022,,4.53,4.53,373,19,,Malaysia
Suriname,2024,,10.56,10.56,305,1,,Malaysia
Switzerland,2025,,0,0,296,,,Malaysia
Chinese Taipei,2024,,3.29,3.29,557,6,,Malaysia
Tanzania,2024,,11.76,11.76,305,,,Malaysia
Thailand,2024,,5.53,5.53,896,,,Malaysia
Togo,2024,,11.73,11.73,323,,,Malaysia
Tonga,2024,,8.6,8.6,271,,,Malaysia
Trinidad and Tobago,2023,"2,004,961",7.35,7.35,304,,,Malaysia
Tunisia,2024,,21.41,21.41,994,,,Malaysia
Tiirkiye,2024,,5.37,0,634,17,448,Malaysia
Uganda,2024,,12.61,12.61,305,,,Malaysia
Ukraine,2025,,3.32,3.32,711,,,Malaysia
United Arab Emirates,2020,"689,076,774",3.23,3.23,356,8,,Malaysia
United Kingdom,2024,,0.83,0.83,500,,,Malaysia
United States of America,2024,,1.38,1.38,624,,,Malaysia
Uruguay,2024,,8.79,8.79,731,,,Malaysia
Vanuatu,2020,,10.14,10.14,279,,,Malaysia
"Venezuela, Bolivarian Republic of",2023,,12.48,12.48,698,,,Malaysia
Viet Nam,2023,,8.49,0,909,,539,Malaysia
Zimbabwe,2021,,14.55,14.55,313,3,,Malaysia
ALL Available Markets,,"5,690,102,612",,,,,,Vietnam
Albania,2025,,2.46,2.46,490,,,Vietnam
Angola,2023,,5.84,5.84,271,,,Vietnam
Antigua and Barbuda,2022,,11.39,11.39,310,1,,Vietnam
Argentina,2024,,10.6,10.6,640,,,Vietnam
Armenia,2023,,4.33,0.57,"1,139",9,620,Vietnam
Australia,2024,,2.06,0,371,,153,Vietnam
