Country Name,Country Code,Time,Time Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Consumer price index (2010 = 100) [FP.CPI.TOTL],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],S&P Global Equity Indices (annual % change) [CM.MKT.INDX.ZG],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Final consumption expenditure (% of GDP) [NE.CON.TOTL.ZS],"Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]","Tariff rate, applied, weighted mean, manufactured products (%) [TM.TAX.MANF.WM.AR.ZS]"
China,CHN,2018,YR2018,6.749773832,2.0747904,121.5588779,4.31,2.14E+12,-20.51548023,1.693894284,55.05768886,3.39,4.29
China,CHN,2019,YR2019,5.950500754,2.899234164,125.0831544,4.56,2.08E+12,19.2613537,1.310715932,56.01857304,2.53,3.13
China,CHN,2020,YR2020,2.238638356,2.419421895,128.1094436,5,2.07E+12,27.87223339,1.723175549,55.33044578,2.47,2.74
China,CHN,2021,YR2021,8.448469417,0.981015136,129.3662166,4.55,2.68E+12,-20.64762118,1.930786223,53.92170365,2.31,2.57
China,CHN,2022,YR2022,2.95066993,1.973575557,131.9193567,4.98,2.71E+12,-23.62484357,1.06367353,53.4419386,2.18,2.45
China,CHN,2023,YR2023,5.249557864,0.234836829,132.2291519,4.67,2.56E+12,..,0.240113517,55.63783544,..,..
China,CHN,2024,YR2024,..,0.218128938,132.5175819,4.571,..,..,..,..,..,..
"Korea, Rep.",KOR,2018,YR2018,2.907403774,1.47583935,114.7192592,3.824,5.35E+11,-21.89457939,0.7060848,64.07509965,4.83,2.26
"Korea, Rep.",KOR,2019,YR2019,2.24397786,0.383000304,115.1586343,3.746,5.03E+11,7.219896736,0.583393861,65.71048316,..,..
"Korea, Rep.",KOR,2020,YR2020,-0.709415359,0.537288023,115.7773678,3.931,4.68E+11,44.1395186,0.533043338,64.43027873,5.48,1.93
"Korea, Rep.",KOR,2021,YR2021,4.304734819,2.498333333,118.6698724,3.639,6.15E+11,-6.96599965,1.213154999,64.11779934,4.85,1.15
"Korea, Rep.",KOR,2022,YR2022,2.612672192,5.089513651,124.7095918,2.857,7.31E+11,-31.38428748,1.496173783,66.84798998,5.66,1.79
"Korea, Rep.",KOR,2023,YR2023,1.356733243,3.59745625,129.1959648,2.675,6.43E+11,..,0.886178382,67.82611274,..,..
"Korea, Rep.",KOR,2024,YR2024,..,2.321743286,132.1955634,2.604,..,..,..,..,..,..
Malaysia,MYS,2018,YR2018,4.843086976,0.884709161,120.6632228,3.3,2.18E+11,-12.6509877,2.314587212,69.3952627,..,..
Malaysia,MYS,2019,YR2019,4.413187421,0.662891866,121.4630895,3.26,2.05E+11,-0.990756913,2.506977057,71.42478795,..,..
Malaysia,MYS,2020,YR2020,-5.456846584,-1.138702154,120.0799867,4.54,1.91E+11,4.177563621,1.202754643,73.97430247,3.6,3.85
Malaysia,MYS,2021,YR2021,3.315349544,2.477102415,123.0544909,4.64,2.38E+11,-8.283372974,5.416259849,70.64417513,3.62,3.88
Malaysia,MYS,2022,YR2022,8.861821876,3.378698625,127.2121313,3.93,2.94E+11,-10.93768737,3.686893363,69.19492589,3.42,3.64
Malaysia,MYS,2023,YR2023,3.555487154,2.488865601,130.3782703,3.869,2.66E+11,..,1.981110493,72.43026051,..,..
Malaysia,MYS,2024,YR2024,..,1.834100204,132.7695384,3.826,..,..,..,..,..,..
United States,USA,2018,YR2018,2.966505069,2.442583297,115.1573032,3.896,2.61E+12,-6.237259822,1.039454088,81.30206469,1.59,1.58
United States,USA,2019,YR2019,2.58382533,1.812210075,117.2441955,3.669,2.57E+12,28.87806904,1.466965014,81.01027661,13.78,2.19
United States,USA,2020,YR2020,-2.163029139,1.233584396,118.6905016,8.055,2.41E+12,16.25892199,0.641871902,81.51364808,1.52,1.55
United States,USA,2021,YR2021,6.055052933,4.697858864,124.2664138,5.349,2.94E+12,26.89273629,2.009212298,82.29842181,1.47,1.57
United States,USA,2022,YR2022,2.51237532,8.002799821,134.2112062,3.65,3.37E+12,-19.44282423,1.572590774,81.73745707,1.49,1.61
United States,USA,2023,YR2023,2.887556009,4.116338384,139.7357936,3.638,3.17E+12,..,1.258207357,81.33530423,..,..
United States,USA,2024,YR2024,..,2.949525205,143.857336,4.106,..,..,..,..,..,..
Viet Nam,VNM,2018,YR2018,7.465006856,3.539628059,159.0696412,1.161,2.37E+11,-6.124145689,4.998283196,66.82277924,4.39,2.29
Viet Nam,VNM,2019,YR2019,7.359262701,2.795823675,163.5169479,1.681,2.53E+11,3.565217552,4.821074861,66.40690648,1.66,1.42
Viet Nam,VNM,2020,YR2020,2.865413209,3.220934367,168.7837215,2.103,2.63E+11,17.6981912,4.558361968,65.44588827,1.34,1.05
Viet Nam,VNM,2021,YR2021,2.553728526,1.834715548,171.8804227,2.385,3.32E+11,37.10749442,4.273145662,65.10411205,1.17,0.88
Viet Nam,VNM,2022,YR2022,8.123514468,3.1565075,177.3058411,1.523,3.59E+11,-46.09575931,4.362405986,63.71995384,1.07,0.82
Viet Nam,VNM,2023,YR2023,5.046430736,3.252892827,183.0734101,1.645,3.26E+11,..,4.305159287,63.43666946,..,..
Viet Nam,VNM,2024,YR2024,..,3.621092739,189.702668,1.431,..,..,..,..,..,..
Germany,DEU,2018,YR2018,1.116443109,1.732168798,111.2466294,3.384,1.28E+12,-18.25937053,4.004210264,72.54234028,1.83,1.98
Germany,DEU,2019,YR2019,0.987893349,1.445659769,112.8548771,3.163,1.23E+12,25.47646563,1.906986881,73.06106572,1.84,2.01
Germany,DEU,2020,YR2020,-4.095137491,0.144877926,113.0183789,3.881,1.17E+12,3.545698886,4.486665711,72.98815522,1.48,1.8
Germany,DEU,2021,YR2021,3.669999862,3.066666667,116.4842759,3.594,1.42E+12,15.78915936,2.349165282,72.38006125,1.39,1.43
Germany,DEU,2022,YR2022,1.369731055,6.872574386,124.4897444,3.12,1.58E+12,-12.346791,1.506606153,74.4820365,1.33,1.64
Germany,DEU,2023,YR2023,-0.26643841,5.946436677,131.8924482,3.068,1.48E+12,..,0.431214647,74.32186929,..,..
Germany,DEU,2024,YR2024,..,2.256498143,134.8685989,3.406,..,..,..,..,..,..
