importer,year,value_usd,mfn_avg_duty,best_avg_duty,mfn_line_count,mfn_nonadval_line,pref_line_count,exporter
ALL Available Markets,,3462413056.0,,,,,,US
Albania,2025.0,,2.46,2.46,490,,,US
Angola,2023.0,,5.84,5.84,271,,,US
Antigua and Barbuda,2022.0,,11.39,11.39,310,1.0,,US
Argentina,2024.0,,10.6,10.6,640,,,US
Armenia,2023.0,,4.33,4.33,"1,139",9.0,,US
Australia,2024.0,,2.06,0.0,371,,153.0,US
"Bahrain, Kingdom of",2024.0,,3.16,3.16,397,,,US
Bangladesh,2024.0,,14.84,14.84,419,,,US
Barbados,2022.0,78914426.0,11.47,11.47,306,,,US
Belize,2025.0,,9.91,9.91,339,,,US
Benin,2024.0,,11.73,11.73,323,,,US
"Bolivia, Plurinational State of",2023.0,,7.92,7.92,483,,,US
Botswana,2023.0,,5.38,5.38,474,,,US
Brazil,2024.0,,10.92,10.92,643,,,US
Brunei Darussalam,2024.0,,0.05,0.05,896,,,US
Burkina Faso,2024.0,,11.73,11.73,323,,,US
Burundi,2024.0,,11.8,11.8,305,,,US
Cabo Verde,2023.0,,9.45,9.45,377,3.0,,US
Cambodia,2024.0,,12.91,12.91,896,,,US
Cameroon,2023.0,,17.48,17.48,298,,,US
Canada,2024.0,,1.15,0.0,420,,80.0,US
Central African Republic,2023.0,,17.48,17.48,298,,,US
Chad,2023.0,,17.48,17.48,298,,,US
Chile,2024.0,,5.99,5.99,441,,,US
China,2024.0,,4.62,4.62,591,,,US
Colombia,2025.0,,2.48,2.48,501,,,US
Congo,2023.0,,17.48,17.48,298,,,US
Costa Rica,2024.0,,3.38,0.0,631,,479.0,US
Cote d'Ivoire,2023.0,,11.78,11.78,292,,,US
Cuba,2022.0,,4.98,4.98,283,,,US
Dominican Republic,2024.0,,7.34,7.34,487,,,US
Ecuador,2024.0,,9.65,9.65,581,18.0,,US
El Salvador,2024.0,,3.33,0.0,447,,129.0,US
Eswatini,2022.0,,5.38,5.38,474,,,US
European Union,2024.0,,1.95,1.95,500,,,US
Fiji,2023.0,,4.49,4.49,332,1.0,,US
Gabon,2023.0,,17.48,17.48,298,,,US
The Gambia,2024.0,,11.73,11.73,323,,,US
Georgia,2024.0,,0.04,0.04,566,,,US
Ghana,2024.0,,11.73,11.73,323,,,US
Guatemala,2024.0,,3.33,0.0,447,,129.0,US
Guinea,2024.0,,11.73,11.73,323,,,US
Guinea-Bissau,2024.0,,11.73,11.73,323,,,US
Guyana,2022.0,63763879.0,10.92,10.92,307,1.0,,US
Haiti,2020.0,,2.67,2.67,275,,,US
Honduras,2024.0,,3.33,1.63,447,,65.0,US
"Hong Kong, China",2025.0,,0.0,0.0,452,,,US
Iceland,2024.0,,0.0,0.0,502,,,US
India,2024.0,,10.39,10.39,634,,,US
Indonesia,2023.0,407395031.0,6.02,6.02,896,4.0,,US
Israel,2022.0,1464401000.0,3.13,3.13,630,10.0,,US
Japan,2024.0,,0.07,0.07,355,,,US
Jordan,2025.0,,3.87,3.87,463,,,US
Kazakhstan,2023.0,,3.27,3.27,"1,139",1.0,,US
Kenya,2024.0,,12.38,12.38,305,,,US
"Korea, Republic of",2024.0,,4.08,4.08,743,,,US
"Kuwait, the State of",2023.0,,3.22,3.22,384,8.0,,US
Kyrgyz Republic,2020.0,1074954.0,4.28,4.28,712,9.0,,US
Lao People's Democratic Republic,2024.0,,7.42,7.42,896,,,US
