"importer","year","value_usd","mfn_avg_duty","best_avg_duty","mfn_line_count","mfn_nonadval_line","pref_line_count"
"ALL Available Markets","","38,935,522,108","","","","",""
"Albania","2025","","2.46","2.46","490","",""
"Angola","2023","","5.84","5.84","271","",""
"Antigua and Barbuda","2022","","11.39","11.39","310","1",""
"Argentina","2024","","10.6","10.6","640","",""
"Armenia","2023","","4.33","4.33","1,139","9",""
"Australia","2024","","2.06","0","371","","153"
"Bahrain, Kingdom of","2024","","3.16","3.16","397","",""
"Bangladesh","2024","","14.84","14.3","419","","21"
"Barbados","2022","15,845,828","11.47","11.47","306","",""
"Belize","2025","","9.91","9.91","339","",""
"Benin","2024","","11.73","11.73","323","",""
"Bolivia, Plurinational State of","2023","","7.92","7.92","483","",""
"Botswana","2023","","5.38","5.38","474","",""
"Brazil","2024","","10.92","10.92","643","",""
"Brunei Darussalam","2024","","0.05","0.05","896","",""
"Burkina Faso","2024","","11.73","11.73","323","",""
"Burundi","2024","","11.8","11.8","305","",""
"Cabo Verde","2023","","9.45","9.45","377","3",""
"Cambodia","2024","","12.91","12.91","896","",""
"Cameroon","2023","","17.48","17.48","298","",""
"Canada","2024","","1.15","1.15","420","",""
"Central African Republic","2023","","17.48","17.48","298","",""
"Chad","2023","","17.48","17.48","298","",""
"Chile","2024","","5.99","5.99","441","",""
"Colombia","2025","","2.48","2.48","501","",""
"Congo","2023","","17.48","17.48","298","",""
"Costa Rica","2024","","3.38","0.37","631","","462"
"Cote d'Ivoire","2023","","11.78","11.78","292","",""
"Cuba","2022","197,751,282","4.98","4.98","283","",""
"Dominican Republic","2024","","7.34","7.34","487","",""
"Ecuador","2024","","9.65","9.65","581","18",""
"El Salvador","2024","","3.33","3.33","447","",""
"Eswatini","2022","","5.38","5.38","474","",""
"European Union","2024","","1.95","1.95","500","",""
"Fiji","2023","","4.49","4.49","332","1",""
"Gabon","2023","","17.48","17.48","298","",""
"The Gambia","2024","","11.73","11.73","323","",""
"Georgia","2024","","0.04","0","566","","5"
"Ghana","2024","","11.73","11.73","323","",""
"Guatemala","2024","","3.33","3.33","447","",""
"Guinea","2024","","11.73","11.73","323","",""
"Guinea-Bissau","2024","","11.73","11.73","323","",""
"Guyana","2022","35,093,808","10.92","10.92","307","1",""
"Haiti","2020","","2.67","2.67","275","",""
"Honduras","2024","","3.33","3.33","447","",""
"Hong Kong, China","2025","","0","0","452","",""
"Iceland","2024","","0","0","502","",""
"India","2024","","10.39","10.39","634","",""
"Indonesia","2023","13,556,327,295","6.02","6.02","896","4",""
"Israel","2022","4,161,141,000","3.13","3.13","630","10",""
"Japan","2024","","0.07","0.03","355","","7"
"Jordan","2025","","3.87","3.87","463","",""
"Kazakhstan","2023","","3.27","3.27","1,139","1",""
"Kenya","2024","","12.38","12.38","305","",""
"Korea, Republic of","2024","","4.08","4.08","743","",""
"Kuwait, the State of","2023","","3.22","3.22","384","8",""
"Kyrgyz Republic","2020","154,704,058","4.28","4.28","712","9",""
"Lao People's Democratic Republic","2024","","7.42","0","896","","896"
"Lesotho","2023","","5.73","5.73","492","",""
