reporter_name,reporter_code,year,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average,trade_weighted,duty_free_share
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",6.638195153211,3.010252592281,0.11765
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",6.75579716793589,,0.117548747591522
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",6.75579716793589,2.43593453258296,0.117548747591522
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",6.8015796519411,3.64424931947819,0.0974899598393574
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",7.63048543379869,4.06415373942377,0.0974899598393574
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",6.74280008924587,3.2608362663309,0.110430522088353
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",6.65365863750767,2.96591307999161,0.12795183044316
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",1.31622905354119,0.494652683131517,0.636328901734104
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",1.31607812226309,0.52829281332062,0.636328901734104
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",1.25516843130096,0.580038590330676,0.65010983935743
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",1.25511823049775,0.516138214717597,0.65010983935743
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",1.31618088398435,0.542200950216822,0.636328901734104
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",1.25294553973469,0.569357901833893,0.65010983935743
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",S,"Mechanical, office and computing machinery",1.25515638310819,0.524822034913263,0.65010983935743
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",10.6188172043011,9.78143112075874,0.00645161290322581
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",10.6188172043011,9.65835240818296,0.00645161290322581
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",13.3255913978495,11.6978037392482,0.00645161290322581
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",10.6188172043011,9.68808135204456,0.00645161290322581
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",10.6188172043011,9.82546365691616,0.00645161290322581
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",10.6188172043011,,0.00645161290322581
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",10.6188172043011,9.82098427913061,0.00645161290322581
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",3.99161325072777,8.48130091462978,0.377176129032258
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",3.9428012479456,7.87042273667245,0.381261935483871
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",3.94667704096978,8.30312603135386,0.381261935483871
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",3.94338656853899,8.29466804604235,0.381261935483871
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",3.94182608977044,7.85299547961828,0.381261935483871
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",4.00394735613849,7.88160588678729,0.375885806451613
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",R,"Rubber, leather and footwear",4.00028311742022,7.73381025586353,0.375885806451613
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",6.51622691292876,2.11004763283841,0.255057255936675
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",6.8957438794727,3.7268322030608,0.137382485875706
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",11.7685467671061,5.78401294540444,0.0945387005649718
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",6.88004237288136,3.83788336509826,0.140442655367232
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",6.56411609498681,2.48280298588687,0.229771503957784
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",7.2263025737602,4.70389696374618,0.0945387005649718
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",6.51622691292876,,0.255057255936675
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",2.47294676780582,1.04257107607947,0.522822316384181
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",2.47263138529129,1.07802882480213,0.489132768361582
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",2.18378563548231,0.88221530293956,0.541834564643799
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",2.22020336022277,0.863422323810913,0.541834564643799
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",2.4562000492858,1.07620248375297,0.522822316384181
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",2.48293464504158,1.02143385393519,0.489132768361582
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",V,"Other manufactures",2.31430843412863,0.970961980774781,0.542802110817942
