reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value,is_electronics
United States,C840,2018,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),32284622.0,True
United States,C840,2022,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,16008510754.0,True
United States,C840,2023,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),10589073.0,True
United States,C840,2019,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),10384824777.0,True
United States,C840,2021,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),11731160567.0,True
United States,C840,2024,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),18158330.0,True
United States,C840,2020,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,17057550460.0,True
United States,C840,2021,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,19374541243.0,True
United States,C840,2018,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,12884697483.0,True
United States,C840,2021,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),19065747.0,True
United States,C840,2024,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),8717683654.0,True
United States,C840,2022,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),14594089.0,True
United States,C840,2022,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),9638932896.0,True
United States,C840,2019,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),28854343.0,True
United States,C840,2018,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),11358974464.0,True
United States,C840,2023,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,11632398410.0,True
United States,C840,2023,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),8645315337.0,True
United States,C840,2019,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,14435447675.0,True
United States,C840,2020,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),9462590209.0,True
United States,C840,2020,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),17472293.0,True
United States,C840,2024,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,15272296082.0,True
United States,C840,2020,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),1375898.0,True
United States,C840,2018,MTN,MT4,V02,Measuring instruments,C344,China (Hong Kong SAR),755436325.0,True
United States,C840,2019,MTN,MT4,V02,Measuring instruments,C156,China,4163845357.0,True
United States,C840,2024,MTN,MT4,V02,Measuring instruments,C156,China,5197367038.0,True
United States,C840,2018,MTN,MT4,V02,Measuring instruments,C156,China,4475426670.0,True
United States,C840,2019,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),3613222.0,True
United States,C840,2023,MTN,MT4,V02,Measuring instruments,C156,China,4960324027.0,True
United States,C840,2018,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),8176525.0,True
United States,C840,2024,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),3983177.0,True
United States,C840,2020,MTN,MT4,V02,Measuring instruments,C344,China (Hong Kong SAR),592878574.0,True
United States,C840,2021,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),2129498.0,True
United States,C840,2023,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),2630175.0,True
United States,C840,2019,MTN,MT4,V02,Measuring instruments,C344,China (Hong Kong SAR),673967380.0,True
United States,C840,2024,MTN,MT4,V02,Measuring instruments,C344,China (Hong Kong SAR),441437710.0,True
United States,C840,2021,MTN,MT4,V02,Measuring instruments,C344,China (Hong Kong SAR),523667708.0,True
United States,C840,2020,MTN,MT4,V02,Measuring instruments,C156,China,4054262093.0,True
United States,C840,2022,MTN,MT4,V02,Measuring instruments,C344,China (Hong Kong SAR),558140424.0,True
United States,C840,2022,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),1945302.0,True
United States,C840,2021,MTN,MT4,V02,Measuring instruments,C156,China,4328011828.0,True
United States,C840,2022,MTN,MT4,V02,Measuring instruments,C156,China,4631581859.0,True
United States,C840,2023,MTN,MT4,V02,Measuring instruments,C344,China (Hong Kong SAR),469274843.0,True
United States,C840,2019,MTN,MT4,S04,Computers and office machinery,C446,China (Macao SAR),3801129.0,True
United States,C840,2024,MTN,MT4,S04,Computers and office machinery,C344,China (Hong Kong SAR),1725293741.0,True
United States,C840,2021,MTN,MT4,S04,Computers and office machinery,C156,China,2089319689.0,True
United States,C840,2019,MTN,MT4,S04,Computers and office machinery,C156,China,1865978571.0,True
United States,C840,2020,MTN,MT4,S04,Computers and office machinery,C156,China,1840619587.0,True
United States,C840,2021,MTN,MT4,S04,Computers and office machinery,C446,China (Macao SAR),1862884.0,True
United States,C840,2018,MTN,MT4,S04,Computers and office machinery,C446,China (Macao SAR),4037762.0,True
United States,C840,2024,MTN,MT4,S04,Computers and office machinery,C156,China,1834556942.0,True
United States,C840,2023,MTN,MT4,S04,Computers and office machinery,C446,China (Macao SAR),3146672.0,True
United States,C840,2023,MTN,MT4,S04,Computers and office machinery,C344,China (Hong Kong SAR),1385794994.0,True
United States,C840,2018,MTN,MT4,S04,Computers and office machinery,C156,China,2299257367.0,True
United States,C840,2023,MTN,MT4,S04,Computers and office machinery,C156,China,1861289533.0,True
United States,C840,2024,MTN,MT4,S04,Computers and office machinery,C446,China (Macao SAR),3635492.0,True
United States,C840,2018,MTN,MT4,S04,Computers and office machinery,C344,China (Hong Kong SAR),1319325874.0,True
United States,C840,2020,MTN,MT4,S04,Computers and office machinery,C344,China (Hong Kong SAR),891404249.0,True
United States,C840,2021,MTN,MT4,S04,Computers and office machinery,C344,China (Hong Kong SAR),1362345541.0,True
United States,C840,2022,MTN,MT4,S04,Computers and office machinery,C446,China (Macao SAR),1427590.0,True
United States,C840,2022,MTN,MT4,S04,Computers and office machinery,C156,China,2069128889.0,True
United States,C840,2020,MTN,MT4,S04,Computers and office machinery,C446,China (Macao SAR),2372373.0,True
United States,C840,2019,MTN,MT4,S04,Computers and office machinery,C344,China (Hong Kong SAR),1176721011.0,True
United States,C840,2022,MTN,MT4,S04,Computers and office machinery,C344,China (Hong Kong SAR),1532457011.0,True
United States,C840,2018,MTN,MT4,T05,Audio-visual devices,C446,China (Macao SAR),1023824.0,True
United States,C840,2022,MTN,MT4,T05,Audio-visual devices,C446,China (Macao SAR),998113.0,True
United States,C840,2022,MTN,MT4,T05,Audio-visual devices,C344,China (Hong Kong SAR),506793218.0,True
United States,C840,2020,MTN,MT4,T05,Audio-visual devices,C156,China,558852133.0,True
United States,C840,2023,MTN,MT4,T05,Audio-visual devices,C446,China (Macao SAR),163510.0,True
United States,C840,2020,MTN,MT4,T05,Audio-visual devices,C344,China (Hong Kong SAR),475155631.0,True
United States,C840,2019,MTN,MT4,T05,Audio-visual devices,C344,China (Hong Kong SAR),329402952.0,True
United States,C840,2019,MTN,MT4,T05,Audio-visual devices,C446,China (Macao SAR),4947889.0,True
United States,C840,2018,MTN,MT4,T05,Audio-visual devices,C156,China,569884132.0,True
United States,C840,2024,MTN,MT4,T05,Audio-visual devices,C344,China (Hong Kong SAR),426537496.0,True
United States,C840,2023,MTN,MT4,T05,Audio-visual devices,C344,China (Hong Kong SAR),354706000.0,True
United States,C840,2019,MTN,MT4,T05,Audio-visual devices,C156,China,520134793.0,True
United States,C840,2022,MTN,MT4,T05,Audio-visual devices,C156,China,678412335.0,True
United States,C840,2023,MTN,MT4,T05,Audio-visual devices,C156,China,514697593.0,True
United States,C840,2024,MTN,MT4,T05,Audio-visual devices,C446,China (Macao SAR),301727.0,True
United States,C840,2020,MTN,MT4,T05,Audio-visual devices,C446,China (Macao SAR),951061.0,True
United States,C840,2021,MTN,MT4,T05,Audio-visual devices,C156,China,614214108.0,True
United States,C840,2021,MTN,MT4,T05,Audio-visual devices,C344,China (Hong Kong SAR),620536614.0,True
United States,C840,2024,MTN,MT4,T05,Audio-visual devices,C156,China,451928438.0,True
United States,C840,2018,MTN,MT4,T05,Audio-visual devices,C344,China (Hong Kong SAR),345928363.0,True
United States,C840,2021,MTN,MT4,T05,Audio-visual devices,C446,China (Macao SAR),1478294.0,True
United States,C840,2021,MTN,MT4,T01,Electrical machinery,C156,China,4065510663.0,True
United States,C840,2022,MTN,MT4,T01,Electrical machinery,C156,China,3632761868.0,True
United States,C840,2018,MTN,MT4,T01,Electrical machinery,C344,China (Hong Kong SAR),1260421401.0,True
United States,C840,2023,MTN,MT4,T01,Electrical machinery,C446,China (Macao SAR),7594688.0,True
United States,C840,2019,MTN,MT4,T01,Electrical machinery,C344,China (Hong Kong SAR),1055291856.0,True
United States,C840,2019,MTN,MT4,T01,Electrical machinery,C446,China (Macao SAR),6390304.0,True
United States,C840,2024,MTN,MT4,T01,Electrical machinery,C156,China,3390924401.0,True
United States,C840,2018,MTN,MT4,T01,Electrical machinery,C446,China (Macao SAR),4399180.0,True
United States,C840,2020,MTN,MT4,T01,Electrical machinery,C446,China (Macao SAR),7362252.0,True
United States,C840,2018,MTN,MT4,T01,Electrical machinery,C156,China,3536877815.0,True
United States,C840,2020,MTN,MT4,T01,Electrical machinery,C344,China (Hong Kong SAR),898778281.0,True
United States,C840,2024,MTN,MT4,T01,Electrical machinery,C446,China (Macao SAR),13512946.0,True
United States,C840,2020,MTN,MT4,T01,Electrical machinery,C156,China,3996909797.0,True
United States,C840,2021,MTN,MT4,T01,Electrical machinery,C344,China (Hong Kong SAR),1016376797.0,True
United States,C840,2023,MTN,MT4,T01,Electrical machinery,C156,China,3606254077.0,True
United States,C840,2024,MTN,MT4,T01,Electrical machinery,C344,China (Hong Kong SAR),778453174.0,True
United States,C840,2021,MTN,MT4,T01,Electrical machinery,C446,China (Macao SAR),10304616.0,True
United States,C840,2022,MTN,MT4,T01,Electrical machinery,C446,China (Macao SAR),6823461.0,True
United States,C840,2022,MTN,MT4,T01,Electrical machinery,C344,China (Hong Kong SAR),918484728.0,True
United States,C840,2019,MTN,MT4,T01,Electrical machinery,C156,China,3359100130.0,True
United States,C840,2023,MTN,MT4,T01,Electrical machinery,C344,China (Hong Kong SAR),793303361.0,True
United States,C840,2021,MTN,MT4,T04,Telecommunication equipment,C156,China,1193438594.0,True
United States,C840,2024,MTN,MT4,T04,Telecommunication equipment,C344,China (Hong Kong SAR),4237392072.0,True
United States,C840,2022,MTN,MT4,T04,Telecommunication equipment,C446,China (Macao SAR),4194533.0,True
United States,C840,2023,MTN,MT4,T04,Telecommunication equipment,C446,China (Macao SAR),2085040.0,True
United States,C840,2018,MTN,MT4,T04,Telecommunication equipment,C156,China,1433470131.0,True
United States,C840,2020,MTN,MT4,T04,Telecommunication equipment,C446,China (Macao SAR),8177955.0,True
