HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017",is_electronics
84041000,840410,41,Capital,2726131,2970771,6091290,3454093,245840,3929397.25,True
84068110,840681,41,Capital,0,0,0,0,0,0.0,True
84069020,840690,42,Intermediate,0,0,0,20919,2640,0.0,True
84069030,840690,42,Intermediate,0,0,0,0,0,0.0,True
84069040,840690,42,Intermediate,2332490,945949,970534,416537,69640,1416324.375,True
84069045,840690,42,Intermediate,12190025,10034700,7877187,9016954,1101008,10033971.0,True
84069050,840690,42,Intermediate,88119,0,0,0,0,29373.0,True
84069060,840690,42,Intermediate,0,0,0,0,0,0.0,True
84069070,840690,42,Intermediate,0,0,1300767,0,0,433589.0,True
84069075,840690,42,Intermediate,71302,223702,1725485,268743,94507,673496.3125,True
84073100,840731,53,Intermediate,229035,292810,105835,125590,156165,209226.6719,True
84073210,840732,53,Intermediate,0,48000,0,68663,0,16000.0,True
84073220,840732,53,Intermediate,1798044,1554369,2429974,2884295,282555,1927462.375,True
84073290,840732,53,Intermediate,16422528,10644577,7051228,4945997,823764,11372778.0,True
84073310,840733,53,Intermediate,30213,0,2400,93917,0,10871.0,True
84073330,840733,53,Intermediate,1393013,5950922,18493576,25416048,9489076,8612504.0,True
84073360,840733,53,Intermediate,9515,0,173595,78350,4600,61036.66797,True
84073390,840733,53,Intermediate,34901084,27432660,19604066,24579148,2554899,27312604.0,True
84073414,840734,53,Intermediate,431468,223049,265741,243638,0,306752.6563,True
84073418,840734,53,Intermediate,765779,336461,17630146,49734848,2624157,6244128.5,True
84073425,840734,53,Intermediate,178868,132200,0,2379,0,103689.3359,True
84073444,840734,53,Intermediate,45848,35133,0,0,0,26993.66602,True
84073448,840734,53,Intermediate,792034,1883789,16680687,6361992,735655,6452170.0,True
84073455,840734,53,Intermediate,12708,43492,27805,42498,0,28001.66602,True
84082020,840820,53,Intermediate,35708888,19677578,45386256,48465204,7408676,33590908.0,True
84082090,840820,53,Intermediate,2919875,6673790,6831572,9086608,2761059,5475079.0,True
84099110,840991,53,Intermediate,34082960,31074896,40672224,43957888,7334442,35276692.0,True
84099130,840991,53,Intermediate,19141538,15829832,16373321,19275612,6217210,17114896.0,True
84099150,840991,53,Intermediate,257579760,246054608,234782208,295691776,98870088,246138864.0,True
84099192,840991,53,Intermediate,7675192,8725127,8009153,17701308,14256408,8136490.5,True
84099199,840992,7,Unspecified,172838928,171623904,198848704,270702880,97348056,181103840.0,True
84099910,840999,53,Intermediate,11172008,9233557,16201364,73944664,16859656,12202310.0,True
84099991,840999,53,Intermediate,169820976,133702432,199258896,232476544,89943176,167594096.0,True
84099992,840999,53,Intermediate,3427019,3722510,4566716,7807905,3277226,3905415.0,True
84099999,841000,7,Unspecified,147486672,149758480,167971712,207518592,69583336,155072288.0,True
