reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value,is_electronics
United States,C840,2021,MTN,MT4,UNSPECIFIED,Unspecified products,C446,China (Macao SAR),39418629.0,False
United States,C840,2019,MTN,MT4,UNSPECIFIED,Unspecified products,C156,China,11612455226.0,False
United States,C840,2020,MTN,MT4,P,Textiles,C446,China (Macao SAR),1794687.0,False
United States,C840,2022,MTN,MT4,P,Textiles,C446,China (Macao SAR),1221041.0,False
United States,C840,2021,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),138930613.0,False
United States,C840,2023,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),106245653.0,False
United States,C840,2021,MTN,MT4,P,Textiles,C156,China,599764364.0,False
United States,C840,2020,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),123805363.0,False
United States,C840,2022,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),113801867.0,False
United States,C840,2019,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),151543725.0,False
United States,C840,2023,MTN,MT4,P,Textiles,C156,China,539102469.0,False
United States,C840,2022,MTN,MT4,P,Textiles,C156,China,599914842.0,False
United States,C840,2020,MTN,MT4,P,Textiles,C156,China,585191841.0,False
United States,C840,2018,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),180433314.0,False
United States,C840,2019,MTN,MT4,P,Textiles,C156,China,571231925.0,False
United States,C840,2023,MTN,MT4,P,Textiles,C446,China (Macao SAR),1517926.0,False
United States,C840,2018,MTN,MT4,P,Textiles,C156,China,722865807.0,False
United States,C840,2024,MTN,MT4,P,Textiles,C156,China,1795821553.88889,False
United States,C840,2024,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),280763345.888889,False
United States,C840,2018,MTN,MT4,P,Textiles,C446,China (Macao SAR),2607003.0,False
United States,C840,2024,MTN,MT4,P,Textiles,C446,China (Macao SAR),2030326.5,False
United States,C840,2021,MTN,MT4,P,Textiles,C446,China (Macao SAR),805815.0,False
United States,C840,2019,MTN,MT4,P,Textiles,C446,China (Macao SAR),1240952.0,False
United States,C840,2024,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),323045303.0,False
United States,C840,2020,MTN,MT4,C,Fruits and vegetables,C446,China (Macao SAR),475393.0,False
United States,C840,2023,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),346228669.0,False
United States,C840,2020,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),529769024.0,False
United States,C840,2020,MTN,MT4,C,Fruits and vegetables,C156,China,1076216374.0,False
United States,C840,2021,MTN,MT4,C,Fruits and vegetables,C156,China,1269904244.0,False
United States,C840,2019,MTN,MT4,C,Fruits and vegetables,C156,China,942089391.0,False
United States,C840,2019,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),989235653.0,False
United States,C840,2022,MTN,MT4,C,Fruits and vegetables,C156,China,1045126712.0,False
United States,C840,2022,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),337631365.0,False
United States,C840,2019,MTN,MT4,C,Fruits and vegetables,C446,China (Macao SAR),206745.0,False
United States,C840,2023,MTN,MT4,C,Fruits and vegetables,C446,China (Macao SAR),138998.0,False
United States,C840,2021,MTN,MT4,C,Fruits and vegetables,C446,China (Macao SAR),105602.0,False
United States,C840,2021,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),513353434.0,False
United States,C840,2018,MTN,MT4,C,Fruits and vegetables,C446,China (Macao SAR),430248.0,False
United States,C840,2024,MTN,MT4,C,Fruits and vegetables,C446,China (Macao SAR),6900.0,False
United States,C840,2018,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),1402025292.0,False
United States,C840,2018,MTN,MT4,C,Fruits and vegetables,C156,China,770264960.0,False
United States,C840,2023,MTN,MT4,C,Fruits and vegetables,C156,China,1441509749.0,False
United States,C840,2024,MTN,MT4,C,Fruits and vegetables,C156,China,1304033567.0,False
United States,C840,2019,MTN,MT4,E,Cereals and food preparations,C344,China (Hong Kong SAR),311485438.0,False
United States,C840,2024,MTN,MT4,E,Cereals and food preparations,C156,China,2612433960.0,False
United States,C840,2021,MTN,MT4,E,Cereals and food preparations,C156,China,8193549293.0,False
United States,C840,2021,MTN,MT4,E,Cereals and food preparations,C446,China (Macao SAR),338989.0,False
United States,C840,2024,MTN,MT4,E,Cereals and food preparations,C344,China (Hong Kong SAR),239439543.0,False
United States,C840,2024,MTN,MT4,E,Cereals and food preparations,C446,China (Macao SAR),79155.0,False
United States,C840,2022,MTN,MT4,E,Cereals and food preparations,C156,China,7895761280.0,False
United States,C840,2020,MTN,MT4,E,Cereals and food preparations,C344,China (Hong Kong SAR),288275089.0,False
United States,C840,2020,MTN,MT4,E,Cereals and food preparations,C446,China (Macao SAR),170006.0,False
United States,C840,2020,MTN,MT4,E,Cereals and food preparations,C156,China,3326100536.0,False
United States,C840,2023,MTN,MT4,E,Cereals and food preparations,C344,China (Hong Kong SAR),233634708.0,False
United States,C840,2023,MTN,MT4,E,Cereals and food preparations,C156,China,3642630773.0,False
United States,C840,2018,MTN,MT4,E,Cereals and food preparations,C156,China,1040103498.0,False
United States,C840,2022,MTN,MT4,E,Cereals and food preparations,C344,China (Hong Kong SAR),237299833.0,False
United States,C840,2018,MTN,MT4,E,Cereals and food preparations,C446,China (Macao SAR),1537217.0,False
United States,C840,2018,MTN,MT4,E,Cereals and food preparations,C344,China (Hong Kong SAR),395084849.0,False
United States,C840,2019,MTN,MT4,E,Cereals and food preparations,C156,China,701517292.0,False
United States,C840,2019,MTN,MT4,E,Cereals and food preparations,C446,China (Macao SAR),434806.0,False
United States,C840,2022,MTN,MT4,E,Cereals and food preparations,C446,China (Macao SAR),356735.0,False
United States,C840,2023,MTN,MT4,E,Cereals and food preparations,C446,China (Macao SAR),209634.0,False
United States,C840,2021,MTN,MT4,E,Cereals and food preparations,C344,China (Hong Kong SAR),280577841.0,False
United States,C840,2024,MTN,MT4,Z,Unspecified products,C446,China (Macao SAR),44530527.0,False
United States,C840,2022,MTN,MT4,Z,Unspecified products,C446,China (Macao SAR),43212604.0,False
United States,C840,2021,MTN,MT4,Z,Unspecified products,C344,China (Hong Kong SAR),1542851416.0,False
United States,C840,2020,MTN,MT4,Z,Unspecified products,C156,China,5609700071.0,False
United States,C840,2018,MTN,MT4,Z,Unspecified products,C446,China (Macao SAR),398525707.0,False
United States,C840,2019,MTN,MT4,Z,Unspecified products,C446,China (Macao SAR),393661929.0,False
United States,C840,2022,MTN,MT4,Z,Unspecified products,C156,China,7197722144.0,False
United States,C840,2024,MTN,MT4,Z,Unspecified products,C344,China (Hong Kong SAR),736962199.0,False
United States,C840,2020,MTN,MT4,Z,Unspecified products,C344,China (Hong Kong SAR),1899137139.0,False
United States,C840,2023,MTN,MT4,Z,Unspecified products,C344,China (Hong Kong SAR),2006157461.0,False
United States,C840,2020,MTN,MT4,Z,Unspecified products,C446,China (Macao SAR),39933758.0,False
United States,C840,2022,MTN,MT4,Z,Unspecified products,C344,China (Hong Kong SAR),1492442315.0,False
United States,C840,2018,MTN,MT4,Z,Unspecified products,C344,China (Hong Kong SAR),1984451022.0,False
United States,C840,2023,MTN,MT4,Z,Unspecified products,C446,China (Macao SAR),86387021.0,False
United States,C840,2018,MTN,MT4,Z,Unspecified products,C156,China,20126694933.0,False
United States,C840,2019,MTN,MT4,Z,Unspecified products,C344,China (Hong Kong SAR),1904144672.0,False
United States,C840,2024,MTN,MT4,Z,Unspecified products,C156,China,2297905505.0,False
United States,C840,2023,MTN,MT4,Z,Unspecified products,C156,China,8991129628.0,False
United States,C840,2019,MTN,MT4,Z,Unspecified products,C156,China,11612455226.0,False
United States,C840,2021,MTN,MT4,Z,Unspecified products,C446,China (Macao SAR),39418629.0,False
United States,C840,2021,MTN,MT4,Z,Unspecified products,C156,China,6054069492.0,False
United States,C840,2024,MTN,MT4,B,Dairy products,C344,China (Hong Kong SAR),13207801.0,False
United States,C840,2022,MTN,MT4,B,Dairy products,C344,China (Hong Kong SAR),18177041.0,False
United States,C840,2020,MTN,MT4,B,Dairy products,C344,China (Hong Kong SAR),19726202.0,False
United States,C840,2023,MTN,MT4,B,Dairy products,C446,China (Macao SAR),11737.0,False
United States,C840,2021,MTN,MT4,B,Dairy products,C344,China (Hong Kong SAR),20283077.0,False
United States,C840,2018,MTN,MT4,B,Dairy products,C156,China,381592534.0,False
United States,C840,2023,MTN,MT4,B,Dairy products,C156,China,465717985.0,False
United States,C840,2024,MTN,MT4,B,Dairy products,C156,China,466602499.0,False
United States,C840,2018,MTN,MT4,B,Dairy products,C344,China (Hong Kong SAR),25225469.0,False
United States,C840,2022,MTN,MT4,B,Dairy products,C156,China,640075007.0,False
United States,C840,2021,MTN,MT4,B,Dairy products,C156,China,586172168.0,False
United States,C840,2023,MTN,MT4,B,Dairy products,C344,China (Hong Kong SAR),13918412.0,False
United States,C840,2020,MTN,MT4,B,Dairy products,C156,China,416007210.0,False
United States,C840,2021,MTN,MT4,B,Dairy products,C446,China (Macao SAR),11985.0,False
United States,C840,2019,MTN,MT4,B,Dairy products,C344,China (Hong Kong SAR),18353824.0,False
United States,C840,2019,MTN,MT4,B,Dairy products,C156,China,255773138.0,False
United States,C840,2020,MTN,MT4,O,"Wood, paper, furniture",C446,China (Macao SAR),1876341.0,False
United States,C840,2020,MTN,MT4,O,"Wood, paper, furniture",C156,China,4731646320.0,False
United States,C840,2020,MTN,MT4,O,"Wood, paper, furniture",C344,China (Hong Kong SAR),171283349.0,False
United States,C840,2022,MTN,MT4,O,"Wood, paper, furniture",C344,China (Hong Kong SAR),157860141.0,False
United States,C840,2023,MTN,MT4,O,"Wood, paper, furniture",C344,China (Hong Kong SAR),201104554.0,False
United States,C840,2019,MTN,MT4,O,"Wood, paper, furniture",C344,China (Hong Kong SAR),231185060.0,False
United States,C840,2022,MTN,MT4,O,"Wood, paper, furniture",C446,China (Macao SAR),4724164.0,False
United States,C840,2021,MTN,MT4,O,"Wood, paper, furniture",C446,China (Macao SAR),1740717.0,False
United States,C840,2023,MTN,MT4,O,"Wood, paper, furniture",C446,China (Macao SAR),5485120.0,False
United States,C840,2021,MTN,MT4,O,"Wood, paper, furniture",C344,China (Hong Kong SAR),175556203.0,False
United States,C840,2024,MTN,MT4,O,"Wood, paper, furniture",C344,China (Hong Kong SAR),192834775.0,False
United States,C840,2019,MTN,MT4,O,"Wood, paper, furniture",C156,China,4842042329.0,False
United States,C840,2019,MTN,MT4,O,"Wood, paper, furniture",C446,China (Macao SAR),3241974.0,False
United States,C840,2021,MTN,MT4,O,"Wood, paper, furniture",C156,China,4800148822.0,False
United States,C840,2018,MTN,MT4,O,"Wood, paper, furniture",C156,China,6267015859.0,False
United States,C840,2024,MTN,MT4,O,"Wood, paper, furniture",C156,China,3710518376.0,False
United States,C840,2022,MTN,MT4,O,"Wood, paper, furniture",C156,China,4561132321.0,False
United States,C840,2024,MTN,MT4,O,"Wood, paper, furniture",C446,China (Macao SAR),8706825.0,False
United States,C840,2018,MTN,MT4,O,"Wood, paper, furniture",C344,China (Hong Kong SAR),224214766.0,False
United States,C840,2018,MTN,MT4,O,"Wood, paper, furniture",C446,China (Macao SAR),3459486.0,False
United States,C840,2023,MTN,MT4,O,"Wood, paper, furniture",C156,China,4039898179.0,False
United States,C840,2018,MTN,MT4,M,Petroleum,C446,China (Macao SAR),112875.0,False
United States,C840,2021,MTN,MT4,M,Petroleum,C156,China,6013159037.0,False
United States,C840,2019,MTN,MT4,M,Petroleum,C156,China,3166144602.0,False
United States,C840,2023,MTN,MT4,M,Petroleum,C156,China,13281096371.0,False
United States,C840,2022,MTN,MT4,M,Petroleum,C156,China,7138532521.0,False
United States,C840,2020,MTN,MT4,M,Petroleum,C344,China (Hong Kong SAR),194036312.0,False
United States,C840,2018,MTN,MT4,M,Petroleum,C156,China,5977613938.0,False
United States,C840,2021,MTN,MT4,M,Petroleum,C446,China (Macao SAR),19828.0,False
United States,C840,2019,MTN,MT4,M,Petroleum,C446,China (Macao SAR),445369.0,False
United States,C840,2018,MTN,MT4,M,Petroleum,C344,China (Hong Kong SAR),11533639.0,False
United States,C840,2021,MTN,MT4,M,Petroleum,C344,China (Hong Kong SAR),93076467.0,False
United States,C840,2022,MTN,MT4,M,Petroleum,C344,China (Hong Kong SAR),4845750.0,False
United States,C840,2019,MTN,MT4,M,Petroleum,C344,China (Hong Kong SAR),44201171.0,False
United States,C840,2023,MTN,MT4,M,Petroleum,C446,China (Macao SAR),4730.0,False
United States,C840,2020,MTN,MT4,M,Petroleum,C156,China,6944547040.0,False
United States,C840,2022,MTN,MT4,M,Petroleum,C446,China (Macao SAR),12180.0,False
United States,C840,2024,MTN,MT4,M,Petroleum,C156,China,6533573579.0,False
United States,C840,2020,MTN,MT4,M,Petroleum,C446,China (Macao SAR),6288.0,False
United States,C840,2024,MTN,MT4,M,Petroleum,C344,China (Hong Kong SAR),6052225.0,False
United States,C840,2023,MTN,MT4,M,Petroleum,C344,China (Hong Kong SAR),50252083.0,False
United States,C840,2018,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),32284622.0,True
