reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value,is_electronics
United States,C840,2021,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),30793159.0,False
United States,C840,2020,MTN,MT4,P,Textiles,C446,China (Macao SAR),7161897.0,False
United States,C840,2020,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),52724426.0,False
United States,C840,2022,MTN,MT4,P,Textiles,C446,China (Macao SAR),22492064.0,False
United States,C840,2019,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),38466157.0,False
United States,C840,2020,MTN,MT4,P,Textiles,C156,China,29650053224.0,False
United States,C840,2023,MTN,MT4,P,Textiles,C446,China (Macao SAR),18701784.0,False
United States,C840,2022,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),25860900.0,False
United States,C840,2021,MTN,MT4,P,Textiles,C446,China (Macao SAR),13912899.0,False
United States,C840,2023,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),15436135.0,False
United States,C840,2024,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),13255658.0,False
United States,C840,2021,MTN,MT4,P,Textiles,C156,China,21013610599.0,False
United States,C840,2024,MTN,MT4,P,Textiles,C156,China,16967766118.0,False
United States,C840,2018,MTN,MT4,P,Textiles,C344,China (Hong Kong SAR),84925390.0,False
United States,C840,2018,MTN,MT4,P,Textiles,C446,China (Macao SAR),2049984.0,False
United States,C840,2023,MTN,MT4,P,Textiles,C156,China,15765475632.0,False
United States,C840,2024,MTN,MT4,P,Textiles,C446,China (Macao SAR),9986273.0,False
United States,C840,2018,MTN,MT4,P,Textiles,C156,China,22492318393.0,False
United States,C840,2022,MTN,MT4,P,Textiles,C156,China,20256108351.0,False
United States,C840,2019,MTN,MT4,P,Textiles,C156,China,19520703688.0,False
United States,C840,2019,MTN,MT4,P,Textiles,C446,China (Macao SAR),7674942.0,False
United States,C840,2020,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),5125862.0,False
United States,C840,2024,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),5101701.0,False
United States,C840,2019,MTN,MT4,C,Fruits and vegetables,C446,China (Macao SAR),69493.0,False
United States,C840,2019,MTN,MT4,C,Fruits and vegetables,C344,China (Hong Kong SAR),4541901.0,False
