reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value,is_electronics
United States,C840,2020,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,114125459341.0,True
United States,C840,2023,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),4030647.0,True
United States,C840,2018,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),7507774.0,True
United States,C840,2019,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),414316508.000001,True
United States,C840,2021,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,131063502154.0,True
United States,C840,2022,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),2762424.0,True
United States,C840,2021,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),346478060.0,True
United States,C840,2024,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),292877035.0,True
United States,C840,2024,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),4339849.0,True
United States,C840,2022,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,138126086722.0,True
United States,C840,2018,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,155852627449.0,True
United States,C840,2023,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,120699755485.0,True
United States,C840,2020,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),288717817.0,True
United States,C840,2021,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),2633974.0,True
United States,C840,2023,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),281998729.0,True
United States,C840,2019,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),2451119.0,True
United States,C840,2022,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),390886272.0,True
United States,C840,2018,MTN,MT4,T,Electrical machinery and electronic equipment,C344,China (Hong Kong SAR),978342118.0,True
United States,C840,2020,MTN,MT4,T,Electrical machinery and electronic equipment,C446,China (Macao SAR),1340180.0,True
United States,C840,2019,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,129126953194.0,True
United States,C840,2024,MTN,MT4,T,Electrical machinery and electronic equipment,C156,China,125406213906.0,True
United States,C840,2018,MTN,MT4,V02,Measuring instruments,C344,China (Hong Kong SAR),42628644.0,True
United States,C840,2019,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),354785.0,True
United States,C840,2019,MTN,MT4,V02,Measuring instruments,C156,China,2856199650.0,True
United States,C840,2018,MTN,MT4,V02,Measuring instruments,C156,China,4152371294.0,True
United States,C840,2020,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),507758.0,True
United States,C840,2024,MTN,MT4,V02,Measuring instruments,C446,China (Macao SAR),117950.0,True
United States,C840,2023,MTN,MT4,V02,Measuring instruments,C156,China,2600512855.0,True
