Month,Category,CPI
Apr-25,Communication Services,100
Mar-25,Communication Services,100
Feb-25,Communication Services,100
Jan-25,Communication Services,99.9
Dec-24,Communication Services,100
Nov-24,Communication Services,100
Oct-24,Communication Services,100
Sep-24,Communication Services,100
Aug-24,Communication Services,100
Jul-24,Communication Services,100
Jun-24,Communication Services,99.8
May-24,Communication Services,99.7
Apr-24,Communication Services,99.6
Mar-24,Communication Services,99.6
Feb-24,Communication Services,99.6
Jan-24,Communication Services,99.7
Apr-25,Communication Facility,101.4
Mar-25,Communication Facility,101.3
Feb-25,Communication Facility,100.6
Jan-25,Communication Facility,100.7
Dec-24,Communication Facility,100.7
Nov-24,Communication Facility,97.9
Oct-24,Communication Facility,97.2
Sep-24,Communication Facility,97.9
Aug-24,Communication Facility,97.9
Jul-24,Communication Facility,98.5
Jun-24,Communication Facility,97.5
May-24,Communication Facility,97.1
Apr-24,Communication Facility,97.6
Mar-24,Communication Facility,97.9
Feb-24,Communication Facility,98.3
Jan-24,Communication Facility,97.7
Apr-25,Transport Facility,96
Mar-25,Transport Facility,95.6
Feb-25,Transport Facility,95.9
Jan-25,Transport Facility,95.8
Dec-24,Transport Facility,95.2
Nov-24,Transport Facility,94.7
Oct-24,Transport Facility,94.7
Sep-24,Transport Facility,94.5
Aug-24,Transport Facility,94.4
Jul-24,Transport Facility,94.7
Jun-24,Transport Facility,95.3
May-24,Transport Facility,95.7
Apr-24,Transport Facility,95.4
Mar-24,Transport Facility,94.6
Feb-24,Transport Facility,94.4
Jan-24,Transport Facility,94.6
Apr-25,Fuels for Transport,94.3
Mar-25,Fuels for Transport,98.8
Feb-25,Fuels for Transport,99.4
Jan-25,Fuels for Transport,96
Dec-24,Fuels for Transport,91.9
Nov-24,Fuels for Transport,89.5
Oct-24,Fuels for Transport,92.4
Sep-24,Fuels for Transport,97.3
Aug-24,Fuels for Transport,105.1
Jul-24,Fuels for Transport,105.6
Jun-24,Fuels for Transport,106.3
May-24,Fuels for Transport,106.9
Apr-24,Fuels for Transport,102.2
Mar-24,Fuels for Transport,100.8
Feb-24,Fuels for Transport,99.9
Jan-24,Fuels for Transport,98.6
