published_date,title,description,polarity,sentiment,source,country_code,country_name
2020-10-20 18:30:00+00:00,Tariff shelter must be temporary,The reported move to have a sunset date for high import tariffs on electronic products like mobile phones and TVs makes perfect sense. Artificial value addition behind high tariff walls enriches a few while impoverishing...,0.8225,positive,economictimes.indiatimes.com,my,Malaysia
2021-11-24 10:04:24+00:00,End the Trump-Biden Tariffs - The New York Times,An import tax on chassis is contributing to inflation and port congestion. The government needs to find better ways of increasing manufacturing.,0.4404,positive,nytimes.com,us,United States
2021-12-01 02:08:59+00:00,焦点：中国电子烟“完全禁止”风险解除 行业‘马太效应’初现、终端零售承压,中国国务院一纸修改烟草专卖法条例的公告，要求“电子烟等新型烟草制品参照卷烟的有关规定执行”，正式宣布中国电子烟获合法身份，一扫此前业内对其“一刀切”禁止的忧虑。但在“专卖专营”的要求下，业内人士亦对电子烟行业加征税收、牌照限制等潜在风险表示担忧。,0.0,neutral,cn.reuters.com,cn,China
2022-03-02 05:39:58+00:00,How Russia-Ukraine war might impact MSME exporters to the region,"Trade, import and export for MSMEs: India’s exports to Russia largely include pharma, organic chemicals, auto components, electronics. In terms of imports, Russia is India’s biggest arms supplier apart from exporting crude oil, fertilisers, precious stones and metals, etc., to India.",-0.5994,negative,financialexpress.com,my,Malaysia
2022-06-16 14:40:01+00:00,WTO provisionally agrees to extend e-commerce tariff moratorium - sources,"WTO members reached a provisional deal on Thursday to extend a moratorium on applying duties to electronic transmissions until the next ministerial meeting, likely to be in 2023, two trade sources involved in the discussions told Reuters. The prospect of ending the moratorium, which has exempted data flows from cross-border tariffs since 1998, had raised major concerns among businesses.",0.7003,positive,devdiscourse.com,my,Malaysia
2023-01-19 16:55:00+00:00,5-year zero tariff for e-vehicles OK’d,"President Ferdinand Marcos Jr. has approved the temporary modification of import duty rates on electronic vehicles, parts and components under Republic Act No. 10863 or the Customs Modernization Act.",0.1531,positive,manilastandard.net,my,Malaysia
2023-06-17 08:40:46+00:00,美国会两党提案取消小额包裹免税 SHEIN、Temu等中国电商恐遭重创,美国国会参众两院两党议员推出法案，计划将终止来自中国和俄罗斯的小额包裹继续享有免税待遇，同时要求美国海关和边境执法单位对于利用“小额包裹免税”管道入境美国的邮件必须取得更多信息。预计，法案如果顺利国会通过，将对包括SHEIN和拼多多海外版Temu等多家中国大型电子商务公司带来巨大冲击。,0.0,neutral,voachinese.com,cn,China
2024-02-01 00:52:36+00:00,雷蒙多告诫欧盟警惕中国电动车带来的国安风险,美国商务部长雷蒙多告诫欧盟要警惕中国电动车带来的重大国安风险，并敦促欧盟与美国合作，在人工智能、芯片、量子计算和电动车等领域共同采取行动。美国与欧盟刚刚在华盛顿举行了第五次贸易与技术委员会的部长级会议，协调对华政策。拜登政府目前正在考虑对来自中国的汽车征收额外关税以及另一项保护美国人个人信息的措施。,0.0,neutral,voachinese.com,cn,China
2024-02-22 09:24:21+00:00,"India will ‘break’ internet at WTO? Free streaming, West’s digital power may end",The World Trade Organisation (WTO) is meeting between Feb. 26 and 29 in Abu Dhabi. It will debate the continuation of the moratorium on digital customs taxes or the tariff ban on electronic transmissions,-0.0772,negative,firstpost.com,my,Malaysia
2024-03-02 03:55:21+00:00,WTO部长会议闭幕 农渔业改革未达共识 电子商务关税暂停令延长2年,世贸组织（WTO）第13届部长级会议周六凌晨闭幕，尽管电子商务关税暂停令获得延长两年，但是在农业、渔业方面皆未达成协议。一些代表形容本届会议是“国家利益战胜集体责任”，这也使得人们对这个多边贸易机构的有效性产生了怀疑。,0.0,neutral,voachinese.com,cn,China
2024-04-22 23:30:17+00:00,"Amid India’s chip push, Taiwan flags talent gaps, high import tariff","More than 90 per cent of the world’s most advanced chips required for almost all electronic equipment such as smartphones, car components, data centres, fighter jets and AI technologies, are made in Taiwan.",0.6901,positive,indianexpress.com,my,Malaysia
2024-05-14 22:14:35+00:00,拜登把对中国电动车的关税翻两番，旨在预先制止未来进口激增,为了重振国内制造业，美国总统乔·拜登周二（5月14日）宣布，他将对中国电动汽车大幅提高关税，并对计算机芯片、太阳能电池和锂离子电池征收新税。,0.0,neutral,voachinese.com,cn,China
2024-06-26 08:00:00+00:00,Toronto address listed shipping $80M of electronics for 'Russian war machine',"A Caribbean shell company has smuggled at least $80 million worth of electronics into Russia under the disguise of a Canadian address, according to leaked Russian trade filings obtained by CBC News.",-0.8316,negative,cbc.ca,my,Malaysia
