HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017"
28459000,284590,22,Intermediate,2638053,4825914,3640230,2996412,846671,3701399
40113000,401130,53,Intermediate,94494,153721,58039,91231,0,102084.6641
40121300,401213,53,Intermediate,20750,106890,5424,1127,0,44354.66797
84011000,840110,41,Capital,0,0,5154,0,130024,1718
84012000,840120,41,Capital,39860,52403,3366,60447,0,31876.33398
84013000,840130,41,Capital,0,0,42000,0,0,14000
84014000,840140,42,Intermediate,0,2772,0,4996,0,924
84021100,840211,41,Capital,10974,22378904,8692,6770,0,7466190
84021200,840212,41,Capital,18406,104945,2588,8621,0,41979.66797
84021900,840219,41,Capital,393757,142090,773423,187482,51919,436423.3438
84022000,840220,41,Capital,2015,28932,446500,580050,0,159149
84029000,840290,42,Intermediate,29048124,79423296,89269088,19706052,6300688,65913504
84042000,840420,41,Capital,331190,638622,2302792,418960,17127,1090868
84049000,840490,42,Intermediate,8226638,8671346,7898616,9941696,146151,8265533.5
84051000,840510,41,Capital,440542,340210,2869555,1748444,541438,1216769
84059000,840590,42,Intermediate,683868,664466,6154629,642808,1601855,2500987.75
84061010,840610,41,Capital,0,0,0,0,0,0
84061090,840610,41,Capital,5433,0,0,0,0,1811
84068190,840681,41,Capital,0,0,0,0,0,0
84068290,840682,41,Capital,755000,0,11434,49630,0,255478
84071000,840710,53,Intermediate,83868,70873,34800,125269,17831,63180.33203
84072100,840721,522,Consumption,117382488,119393080,122046504,124087240,25898832," 119,607,360 "
84072900,840729,53,Intermediate,6815578,12135937,13707360,6613341,13800,10886292
84081000,840810,53,Intermediate,59457,179609,229464,129246,350689,156176.6719
84089010,840890,41,Capital,3110325,1740522,1605266,4389402,2649390,2152037.75
84089090,840890,41,Capital,100615128,78922032,110194424,110418912,5786091,96577192
84091000,840910,53,Intermediate,1373851,1032287,995285,441063,141842,1133807.625
84101100,841011,41,Capital,71301,73414,5694,176070,0,50136.33203
84101200,841012,41,Capital,407028,322000,0,583700,0,243009.3281
84101300,841013,41,Capital,0,0,0,0,0,0
84109000,841090,42,Intermediate,20472452,14178339,16204067,14500606,2058540,16951620
84111140,841111,53,Intermediate,4166195,0,0,22039,0,1388731.625
84111180,841111,53,Intermediate,63423,6568,11729,0,19723,27240
84111240,841112,53,Intermediate,16651653,19460266,34816592,127792864,31178084,23642836
84111280,841112,53,Intermediate,86160,103305,0,0,11223,63155
84112140,841121,53,Intermediate,0,147853,0,10820,0,49284.33203
84112180,841121,53,Intermediate,0,0,0,0,0,0
84112240,841122,53,Intermediate,0,0,0,0,0,0
84112280,841122,53,Intermediate,0,0,0,0,0,0
84118140,841181,53,Intermediate,3529400,813562,335105,41520,0,1559355.625
84118180,841181,53,Intermediate,0,0,0,0,3492012,0
84118240,841182,53,Intermediate,0,0,5000000,0,0,1666666.625
84118280,841182,53,Intermediate,0,0,1624588,1773932,0,541529.3125
84119110,841191,53,Intermediate,3386695,3068893,5880726,3177203,103281,4112104.75
84119190,841191,53,Intermediate,291985504,319202912,321174912,345683584,134023096,310787776
84119910,841199,53,Intermediate,1788200,2798376,4140672,509384,25338,2909082.75
84119990,841199,53,Intermediate,197244320,254284336,193878976,146213376,38361340,215135872
84121000,841210,53,Intermediate,109484,273974,369950,324963,170612,251136
84122100,841221,41,Capital,133289880,130804712,161250704,195999536,57184412,141781760
84122940,841229,41,Capital,786424,226194,1845308,1849185,0,952642
84122980,841229,41,Capital,30320656,37544568,48789016,58061372,15881222,38884748
84123100,841231,41,Capital,27899580,27464000,32989772,30273778,8652602,29451118
84123900,841239,41,Capital,15128734,15716658,19237248,26030068,4527876,16694213
84128010,841280,41,Capital,2177955,2140683,2562410,4867637,1925444,2293682.75
84128090,841280,41,Capital,5838318,7369055,9682553,6654798,1136425,7629975.5
84129010,841290,42,Intermediate,451635,249495,260869,682515,30988,320666.3438
84131900,841319,41,Capital,16932120,18646792,21622556,27037376,2171400,19067156
84134000,841340,41,Capital,315648,947730,257647,377755,0,507008.3438
84135000,841350,41,Capital,294498304,173030896,225330000,213461440,85316152,230953072
84136000,841360,41,Capital,192006848,143365120,158112768,208857248,66053976,164494912
84137010,841370,41,Capital,362871,164236,281957,520170,8005,269688
84137020,841370,41,Capital,367369600,313451264,354740416,376143168,135729056,345187104
84138100,841381,41,Capital,117864088,116064968,133096552,116183720,30577150,122341872
84138200,841382,41,Capital,1683214,736117,559289,883982,219260,992873.3125
84139110,841391,42,Intermediate,28270052,24095364,13554854,24377180,7338268,21973424
84139120,841391,42,Intermediate,1463529,849948,383889,762598,244489,899122
84139190,841391,42,Intermediate,802662656,638247808,803155648,850226432,255383232,748022016
84143040,841430,41,Capital,51084688,51215788,62564672,13579776,7687490,54955048
84143080,841430,41,Capital,263942080,301241984,304755008,294942784,118717504,289979680
84145930,841459,41,Capital,5770927,6978675,7795655,5489741,1283257,6848419
84148005,841480,41,Capital,19563546,16977616,25641568,30963784,11276701,20727576
84148020,841480,41,Capital,15705910,13593779,20597340,16101005,4088478,16632343
84149030,841490,42,Intermediate,50094800,33167266,43585816,35929356,9930084,42282628
84149041,841490,42,Intermediate,183449712,163345840,209080896,232800080,71181400,185292144
84149090,841490,42,Intermediate,45925704,37697556,41262728,41685456,10357518,41628664
84169000,841690,42,Intermediate,39902184,33613896,24360636,22805768,6832268,32625572
84171000,841710,41,Capital,9849864,9272466,7063890,916578,1345801,8728740
84178000,841780,41,Capital,5538363,10463130,4473002,5205147,541935,6824831.5
84179000,841790,42,Intermediate,13107847,22821084,13367008,16028782,7701100,16431980
84186901,841869,41,Capital,373210624,431024800,455472000,390790560,87165040,419902464
84191100,841911,41,Capital,6548625,6353105,7265281,8362975,564233,6722337
84191900,841919,41,Capital,3692589,4487616,5339624,4180731,1142540,4506609.5
84193100,841931,41,Capital,1036178,839790,301315,2161926,394493,725761
84193210,841932,41,Capital,3140393,447189,352811,834748,252213,1313464.375
84193250,841932,41,Capital,297546,393458,146751,965733,107581,279251.6563
84193901,841939,41,Capital,19081028,16685099,36391916,17561868,3048902,24052680
84194000,841940,41,Capital,10631706,4597895,9589908,50780668,2531943,8273169.5
84195010,841950,41,Capital,21805102,36585468,22195964,55311120,9621762,26862178
84195050,841950,41,Capital,94907592,109103520,180876704,191355504,33438428,128295936
